moods,time_segment,city,state,time_zone,temperature_f,weather,profile_id,drink_name,drink_notes
calm,evening,Fresno,CA,America/Los_Angeles,60,clear,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
curious|gloomy,morning,Miami,FL,America/New_York,44,snow,house_blend,Cardamom cortado,Espresso; milk; and cardamom.
gloomy|restless,evening,Anaheim,CA,America/Los_Angeles,66,thunderstorm,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
bored|angry,morning,San Diego,CA,America/Los_Angeles,55,overcast,matcha_creamy,Tropical iced matcha,Matcha; coconut milk; pineapple; and lime zest.
lonely|anxious,afternoon,Honolulu,HI,Pacific/Honolulu,68,clear,espresso_smooth,Honey almond latte,Espresso; almond milk; and soft honey.
angry,morning,San Antonio,TX,America/Chicago,79,thunderstorm,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
calm|lonely,afternoon,Anaheim,CA,America/Los_Angeles,51,mostly clear,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
angry|calm,evening,Washington,DC,America/New_York,48,rain,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
calm|bored,evening,Sacramento,CA,America/Los_Angeles,40,snow,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
anxious,evening,Arlington,TX,America/Chicago,44,drizzle,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
bored,afternoon,Fresno,CA,America/Los_Angeles,35,snow,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
calm|bored,evening,Indianapolis,IN,America/Indiana/Indianapolis,64,mostly clear,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
calm|bored,afternoon,Atlanta,GA,America/New_York,55,fog,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
stressed,afternoon,Nashville,TN,America/Chicago,63,showers,tea_floral,Black tea tonic,Assam tea; tonic; lemon; and a touch of sage.
angry|anxious,morning,Cincinnati,OH,America/New_York,61,overcast,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
calm|bored,evening,Denver,CO,America/Denver,42,drizzle,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
restless,morning,Stockton,CA,America/Los_Angeles,76,clear,cold_brew_refresh,Bright lime cold brew,Cold brew; lime; and a touch of agave.
gloomy|calm,afternoon,San Francisco,CA,America/Los_Angeles,56,showers,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
angry,morning,Milwaukee,WI,America/Chicago,60,overcast,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
gloomy|angry,afternoon,Nashville,TN,America/Chicago,50,fog,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
angry|anxious,evening,Atlanta,GA,America/New_York,50,overcast,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
happy|motivated,morning,St. Paul,MN,America/Chicago,73,clear,sparkling_refresh,Sunrise espresso tonic,Double espresso; tonic; orange peel; and rosemary mist.
restless,afternoon,New Orleans,LA,America/Chicago,70,thunderstorm,espresso_bold,Minted espresso shaker,Espresso; mint; and lightly sweetened milk.
happy|angry,morning,Mesa,AZ,America/Phoenix,56,rain,sparkling_refresh,Sunrise espresso tonic,Double espresso; tonic; orange peel; and rosemary mist.
hopeful|angry,afternoon,Corpus Christi,TX,America/Chicago,57,showers,tea_floral,Sparkling peach tea,White tea; peach; and soda.
bored|restless|hopeful,afternoon,Portland,OR,America/Los_Angeles,55,clear,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
anxious|sad|numb,morning,Columbus,OH,America/New_York,59,drizzle,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
numb|motivated,afternoon,Bakersfield,CA,America/Los_Angeles,42,fog,cacao_comfort,Cocoa oat,Cocoa; oat milk; and a hint of salt.
anxious,morning,Sacramento,CA,America/Los_Angeles,69,overcast,tea_floral,Ginger citrus tea,Black tea; ginger; lemon; and a touch of honey.
curious|numb,evening,Durham,NC,America/New_York,41,snow,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
tired|numb|restless,evening,San Diego,CA,America/Los_Angeles,41,snow,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
gloomy|calm,morning,Oakland,CA,America/Los_Angeles,34,snow,cacao_comfort,Mocha drizzle,Espresso; cocoa; and dark sugar.
anxious|angry,afternoon,Boston,MA,America/New_York,62,clear,espresso_smooth,Rosey oat latte,Espresso; oat milk; rose syrup; and cardamom.
angry,morning,Santa Ana,CA,America/Los_Angeles,53,rain,cold_brew_refresh,Spiced cacao espresso,Espresso; cacao; ancho chili; and smoked sea salt.
calm|happy|stressed,evening,Arlington,TX,America/Chicago,39,snow,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
numb|angry,evening,Aurora,CO,America/Denver,84,clear,house_blend,Quiet chamomile,Chamomile tea with soft honey.
calm|hopeful,evening,San Diego,CA,America/Los_Angeles,56,fog,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
restless|gloomy,morning,Newark,NJ,America/New_York,58,showers,cold_brew_refresh,Bright lime cold brew,Cold brew; lime; and a touch of agave.
angry|stressed,evening,Denver,CO,America/Denver,60,showers,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
numb,afternoon,Cleveland,OH,America/New_York,78,thunderstorm,cacao_comfort,Cocoa oat,Cocoa; oat milk; and a hint of salt.
angry|restless,evening,St. Paul,MN,America/Chicago,44,snow,espresso_smooth,Miso caramel latte,Espresso; miso caramel; and velvety oat milk.
anxious|happy,evening,Oakland,CA,America/Los_Angeles,47,showers,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
happy|bored,morning,Denver,CO,America/Denver,76,mixed conditions,sparkling_refresh,Sunrise espresso tonic,Double espresso; tonic; orange peel; and rosemary mist.
curious|bored|hopeful,evening,Pittsburgh,PA,America/New_York,69,overcast,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
calm,evening,Durham,NC,America/New_York,43,fog,tea_floral,Chamomile vanilla steam,Chamomile; vanilla bean; and warm milk.
gloomy,afternoon,Stockton,CA,America/Los_Angeles,59,mostly clear,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
tired|motivated,evening,Las Vegas,NV,America/Los_Angeles,63,mostly clear,tea_floral,Cocoa hush steamer,Cocoa; brown sugar; cinnamon; and warm almond milk.
stressed|angry|gloomy,morning,Arlington,TX,America/Chicago,52,drizzle,house_blend,Clean shot cortado,Ristretto; silky milk; and a hint of cacao nib.
gloomy,evening,Jacksonville,FL,America/New_York,43,snow,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
bored|hopeful,morning,Austin,TX,America/Chicago,49,showers,matcha_creamy,Tropical iced matcha,Matcha; coconut milk; pineapple; and lime zest.
calm|gloomy|restless,afternoon,Nashville,TN,America/Chicago,65,mostly clear,tea_floral,Coconut jasmine cooler,Jasmine tea; coconut water; and yuzu.
bored,evening,Oakland,CA,America/Los_Angeles,57,overcast,espresso_smooth,Black sesame latte,Espresso; black sesame; and steamed milk.
stressed|calm,afternoon,Miami,FL,America/New_York,51,overcast,tea_floral,Black tea tonic,Assam tea; tonic; lemon; and a touch of sage.
gloomy|anxious,evening,Dallas,TX,America/Chicago,40,snow,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
gloomy,evening,Lincoln,NE,America/Chicago,73,mixed conditions,house_blend,Smoky cacao,Cacao; smoked salt; and warm milk.
gloomy|tired,afternoon,Nashville,TN,America/Chicago,65,overcast,espresso_smooth,Maple oat latte,Espresso; oat milk; and maple syrup.
anxious,afternoon,Phoenix,AZ,America/Phoenix,63,showers,espresso_smooth,Rosey oat latte,Espresso; oat milk; rose syrup; and cardamom.
restless|curious,evening,Memphis,TN,America/Chicago,57,showers,cacao_comfort,Peppermint mocha,Espresso; cocoa; peppermint; and steamed milk.
anxious,evening,Anaheim,CA,America/Los_Angeles,57,rain,house_blend,Warm almond cacao,Cacao; almond milk; and a pinch of cinnamon.
bored|hopeful|stressed,afternoon,Sacramento,CA,America/Los_Angeles,57,rain,espresso_bold,Sparkling yuzu espresso,Espresso; yuzu soda; and mint.
motivated|happy|restless,afternoon,Greensboro,NC,America/New_York,73,mixed conditions,cold_brew_refresh,Iced oat americano,Espresso; water; and a splash of oat milk.
